date,description,amount,external_id
2026-03-15,Virement client SARL Dupont,2500.00,TRX-2026-001
2026-03-16,Prélèvement loyer bureaux,-850.00,TRX-2026-002
2026-03-17,Paiement fournisseur Tech Solutions,-1200.50,TRX-2026-003
2026-03-18,Virement client Entreprise Martin,3750.00,TRX-2026-004
2026-03-19,Prélèvement assurance,-120.00,TRX-2026-005
2026-03-20,Virement salaires,-4500.00,TRX-2026-006
2026-03-21,Paiement CB Restaurant Le Gourmet,-85.50,TRX-2026-007
2026-03-22,Virement client SAS Bernard,1890.00,TRX-2026-008
2026-03-23,Prélèvement électricité EDF,-180.30,TRX-2026-009
2026-03-24,Paiement fournitures Bureau Plus,-245.80,TRX-2026-010
2026-03-25,Virement client EURL Thomas,4200.00,TRX-2026-011
2026-03-26,Prélèvement Internet/Téléphone,-89.99,TRX-2026-012
2026-03-27,Paiement CB Carburant Total,-95.00,TRX-2026-013
2026-03-28,Virement client SA Mercier,2100.00,TRX-2026-014
2026-03-29,Prélèvement comptable expert,-350.00,TRX-2026-015
2026-03-30,Virement remboursement TVA,1250.00,TRX-2026-016
2026-03-31,Paiement logiciel SaaS Microsoft,-45.00,TRX-2026-017
